IP Prefix	Description
52.93.127.127/32	ap-south-1-amazon-ap-south-1-293
69.235.128.0/18	cn-northwest-1-ec2-cn-northwest-1-2469
13.34.24.96/27	us-west-2-amazon-us-west-2-295
52.93.20.0/24	us-west-2-amazon-us-west-2-296
52.93.127.96/32	cn-northwest-1-amazon-cn-northwest-1-297
52.144.192.0/26	us-east-1-amazon-us-east-1-298
150.222.112.0/24	ap-southeast-2-amazon-ap-southeast-2-299
204.236.128.0/18	us-west-1-ec2-us-west-1-2470
3.5.208.0/22	ap-south-1-ec2-ap-south-1-2471
13.34.30.160/27	us-east-1-amazon-us-east-1-302
15.177.76.0/24	ap-northeast-2-route53_healthchecks_publishing-ap-northeast-2-3148
15.230.131.10/31	eu-central-1-amazon-eu-central-1-304
52.30.0.0/15	eu-west-1-ec2-eu-west-1-2473
52.94.8.0/24	ap-northeast-1-dynamodb-ap-northeast-1-2375
52.94.249.64/28	us-west-2-ec2-us-west-2-2474
54.92.0.0/17	ap-northeast-1-ec2-ap-northeast-1-2475
54.154.0.0/16	eu-west-1-ec2-eu-west-1-2476
64.252.76.0/24	us-east-2-ec2-us-east-2-2477
67.202.0.0/18	us-east-1-ec2-us-east-1-2478
103.246.148.0/23	ap-southeast-1-amazon-ap-southeast-1-312
150.222.120.230/31	eu-central-1-amazon-eu-central-1-313
150.222.230.92/32	eu-central-1-amazon-eu-central-1-314
13.34.23.64/27	us-east-2-amazon-us-east-2-315
13.34.32.0/27	us-west-1-amazon-us-west-1-316
15.197.0.0/23	GLOBAL-globalaccelerator-GLOBAL-3087
54.226.0.0/15	us-east-1-ec2-us-east-1-2479
54.230.200.0/21	GLOBAL-cloudfront-GLOBAL-3018
162.250.237.0/24	us-east-1-ec2-us-east-1-2480
3.112.0.0/14	ap-northeast-1-ec2-ap-northeast-1-2481
52.93.178.166/32	us-west-1-amazon-us-west-1-322
52.95.244.0/24	eu-west-1-ec2-eu-west-1-2482
64.187.128.0/20	us-east-1-ec2-us-east-1-mia-1-2483
64.252.111.0/24	ap-northeast-1-ec2-ap-northeast-1-2484
99.82.188.0/22	us-east-1-amazon-us-east-1-326
15.230.18.0/24	us-east-1-amazon-us-east-1-327
18.231.0.0/16	sa-east-1-ec2-sa-east-1-2485
54.252.0.0/16	ap-southeast-2-ec2-ap-southeast-2-2486
120.253.240.192/26	GLOBAL-cloudfront-GLOBAL-3019
150.222.3.182/32	ap-southeast-1-amazon-ap-southeast-1-331
150.222.79.0/24	us-east-1-amazon-us-east-1-332
3.224.0.0/12	us-east-1-ec2-us-east-1-2487
15.230.39.2/31	us-east-2-amazon-us-east-2-334
52.93.50.162/31	us-east-1-amazon-us-east-1-335
52.93.50.184/31	us-east-1-amazon-us-east-1-336
52.93.229.149/32	eu-west-2-amazon-eu-west-2-337
52.93.240.178/31	us-west-2-amazon-us-west-2-338
52.94.216.0/21	eu-west-1-amazon-eu-west-1-339
52.144.192.192/26	us-east-1-amazon-us-east-1-340
52.144.196.192/26	us-east-2-amazon-us-east-2-341
54.221.0.0/16	us-east-1-ec2-us-east-1-2488
54.240.202.0/24	us-east-1-amazon-us-east-1-343
54.255.0.0/16	ap-southeast-1-ec2-ap-southeast-1-2489
150.222.230.106/31	eu-central-1-amazon-eu-central-1-345
52.119.248.0/24	ap-east-1-dynamodb-ap-east-1-2376
52.144.205.0/26	us-west-1-amazon-us-west-1-347
54.239.0.144/28	cn-north-1-amazon-cn-north-1-348
150.222.120.248/31	eu-central-1-amazon-eu-central-1-349
150.222.129.132/31	eu-central-1-amazon-eu-central-1-350
13.34.25.96/27	us-west-2-amazon-us-west-2-351
15.228.0.0/15	sa-east-1-ec2-sa-east-1-2490
52.93.57.0/24	af-south-1-amazon-af-south-1-353
52.93.92.67/32	us-west-1-amazon-us-west-1-354
52.93.127.93/32	cn-northwest-1-amazon-cn-northwest-1-355
52.95.63.0/24	us-east-1-amazon-us-east-1-356
150.222.3.212/31	ap-southeast-1-amazon-ap-southeast-1-357
13.34.32.32/27	us-west-1-amazon-us-west-1-358
52.93.92.65/32	us-west-1-amazon-us-west-1-359
52.93.126.215/32	us-east-1-amazon-us-east-1-360
52.93.240.180/31	us-west-2-amazon-us-west-2-361
52.94.249.208/28	ap-south-2-ec2-ap-south-2-2491
54.233.0.0/18	sa-east-1-ec2-sa-east-1-2492
68.66.112.0/20	us-east-1-ec2-us-east-1-bos-1-2493
69.231.128.0/18	cn-northwest-1-ec2-cn-northwest-1-2494
99.82.172.0/24	us-west-1-globalaccelerator-us-west-1-3088
108.136.0.0/15	ap-southeast-3-ec2-ap-southeast-3-2495
116.129.226.128/26	GLOBAL-cloudfront-GLOBAL-3020
150.222.82.0/24	ap-southeast-2-amazon-ap-southeast-2-369
150.222.243.43/32	eu-south-1-amazon-eu-south-1-370
150.222.244.35/32	eu-south-1-amazon-eu-south-1-371
13.34.28.160/27	us-west-2-amazon-us-west-2-372
35.176.0.0/15	eu-west-2-ec2-eu-west-2-2496
52.93.193.195/32	ca-central-1-amazon-ca-central-1-374
54.239.112.0/24	us-east-1-amazon-us-east-1-375
70.224.192.0/18	us-west-2-ec2-us-west-2-lax-1-2497
99.77.153.0/24	us-east-2-ec2-us-east-2-2498
